Twitter Username,Frequency,Group/Industry
@abantenews,2,News Media
@abscbnnews,49,News Media
@afp,4,Government
@aldenrichards02,1,Entertainment
@alvinelchico,14,News Media
@ancalerts,17,News Media
@annecurtissmith,1,Entertainment
@arvyncerezo,1,News Media
@astrazeneca,13,Pharmaceutical
@attyharryroque,12,Government
@bbcnews,1,News Media
@benandbenmusic,1,Entertainment
@benchtm,1,Corporate
@bharatbiotech,1,Pharmaceutical
@bigmandrilon,2,Government
@bongbongmarcos,1,Government
@business,1,News Media
@cebupacificair,1,Corporate
@cgonzalesinq,1,News Media
@chiarazambrano,3,News Media
@chinaembmanila,1,Government
@cmramosinq,1,News Media
@cnnphilippines,18,News Media
@davaocitygov,2,Government
@deejayapinq,2,News Media
@dennis_datu,1,News Media
@dexcabalzainq,2,News Media
@dfaphl,1,Government
@dickgordondg,1,Government
@dilgphilippines,1,Government
@dndphl,2,Government
@doc4dead,3,Medicine
@docadamsmith,1,Medicine
@docbenjisays,13,Medicine
@docerclaudio,1,Medicine
@dohgovph,24,Government
@doleph,2,Government
@dorisbigornia,10,News Media
@dospordos_dzrh,1,News Media
@dost_pagasa,1,Government
@drtonyleachon,23,Medicine
@dwiz882,1,News Media
@dzar1026,4,News Media
@dzbb,13,News Media
@dzbbsamnielsen,2,News Media
@dzme_1530khz,1,News Media
@dzmmteleradyo,12,News Media
@dzrh_ot,2,News Media
@dzrh5,2,News Media
@dzrhnews,10,News Media
@eatbulaga,1,Entertainment
@edselsalvana,4,Medicine
@edsoncguido,2,News Media
@fda,1,International
@giboteodoro,5,Government
@gmanews,40,News Media
@gmanewsbreaking,5,News Media
@gmaregionaltv,1,News Media
@gvgregorio_tv5,1,News Media
@inquirerdotnet,30,News Media
@institutegc,1,International
@jcpunongbayan,2,News Media
@jeromeaninginq,1,News Media
@jervismanahan,2,News Media
@johnsonnjohnson,1,Pharmaceutical
@kaguilarinq,10,News Media
@karennginq,1,News Media
@kissesdelavin,11,Entertainment
@lenirobredo,6,Government
@lizasoberano,1,Entertainment
@mainedcm,1,Entertainment
@mandaluyongpio,2,Government
@manilabulletin,11,News Media
@manilapio,2,Government
@mannypacquiao,1,Government
@maroxas,4,Government
@mayora_abby,1,Government
@meralco,2,Corporate
@moderna_tx,9,Pharmaceutical
@navotas_city,3,Government
@net25tv,1,News Media
@news5ph,14,News Media
@newsrmn,1,News Media
@ntfcovid19ph,18,Government
@officialmunti,3,Government
@onenewsph,2,News Media
@owwaofficial,2,Government
@pasiginfo,1,Government
@pcoogov,5,Government
@pfizer,11,Pharmaceutical
@philippineair,1,Corporate
@philippinestar,6,News Media
@philredcross,1,Government
@philstarnews,7,News Media
@pia_gutierrez,2,News Media
@piacaraga,1,Government
@piaranada,6,News Media
@pinas_city,1,Government
@pinoyakoblog,36,Entertainment
@pnagovph,2,Government
@pokwang27,1,Entertainment
@ptvph,12,News Media
@qcgov,6,Government
@rapplerdotcom,12,News Media
@realmochauson,1,Government
@remateph,23,News Media
@reuters,1,News Media
@rex_gatchalian,16,Government
@rg_cruz12479,1,News Media
@rmmendozamt,1,News Media
@rmnnetworks,16,News Media
@roycanivel_inq,1,News Media
@rrd_davao,3,Government
@sanjuancityncr,2,Government
@sapbonggo,7,Government
@sb19official,16,Entertainment
@scmpnews,1,News Media
@secduque,4,Government
@senateph,1,Government
@senatorjoelv,1,Government
@shopeeph,22,Corporate
@sinovac,2,Pharmaceutical
@sm_southmall,2,Corporate
@smsupermalls,1,Corporate
@sportsdeskph,1,News Media
@sputnikvaccine,3,Pharmaceutical
@teddybird,20,Government
@teddyboylocsin,4,Government
@themanilatimes,7,News Media
@thenews_intl,1,News Media
@tobytiangco,1,Government
@tribunephl,1,News Media
@tristannodalo,2,News Media
@ukinphilippines,1,Government
@unicef,1,International
@unicefsupply,1,International
@uniofoxford,2,International
@untvnewsrescue,1,News Media
@valenzuelacity,7,Government
@valtracesupport,2,Government
@vargasmannysen,2,News Media
@vicosotto,13,Government
@viviennegulla,3,Government
@whophilippines,1,International
@yahoo,1,Technology
@youtube,3,Technology
@zandrodzmm,1,News Media